	Object_Id	Group_Id
0	1343152	1
1	1343153	1
2	1343154	2
3	1343155	1
4	1343156	2
5	1343157	2
6	1343176	1
7	1343177	1
8	1343178	2
9	1343179	1
10	1343180	1
11	1343181	1
12	1343170	1
13	1343171	1
14	1343172	2
15	1343173	1
16	1343174	2
17	1343175	2
18	1343164	1
19	1343165	2
20	1343166	2
21	1343167	2
22	1343168	1
23	1343159	2
24	1343161	1
25	1343158	1
26	1343160	1
27	1343169	2
28	1343162	1
29	1343163	2
30	1343203	0
31	1343204	1
32	1343208	1
33	1343209	1
34	1343210	2
35	1343211	1
36	1343212	1
37	1343213	1
38	1343215	1
39	1343216	2
40	1343218	1
41	1343226	1
42	1343228	1
43	1343148	2
44	1343207	0
45	1351401	1
46	1351402	1
47	1351404	2
48	1351413	1
49	1351405	1
50	1351407	2
51	1351408	2
52	1351409	2
53	1351410	1
54	1351411	1
55	1351417	2
56	1351419	2
57	1351420	2
58	1351421	2
59	1351422	2
60	1351423	2
61	1343187	0
62	1343197	0
63	1343198	0
64	1351425	0
65	1351424	2
66	1351426	1
67	1351427	1
68	1354412	0
69	1354413	0
70	1354414	1
71	1354415	0
72	1354416	1
73	1354417	2
74	1354422	1
75	1354423	1
76	1354424	1
77	1354425	1
78	1354426	1
79	1354427	1
80	1354428	1
81	1354429	1
82	1354432	1
83	1354433	1
84	1354434	1
85	1354435	1
86	1354660	2
87	1354661	2
88	1354662	2
89	1354668	1
90	1354671	2
91	1354665	2
92	1354664	1
93	1354663	1
94	1354667	1
95	1354670	1
96	1354666	1
97	1354669	2
98	1354773	2
99	1354729	0
100	1354717	0
101	1354766	0
102	1354743	0
103	1354686	0
104	1354708	0
105	1354676	0
106	1354790	0
107	1354716	0
108	1354675	0
109	1354725	0
110	1354754	0
111	1354749	0
112	1354753	0
113	1354750	0
114	1354723	0
115	1354746	0
116	1354724	0
117	1354693	0
118	1354775	0
119	1354764	0
120	1354767	0
121	1354770	0
122	1354679	0
123	1354681	0
124	1354739	0
125	1354684	0
126	1354702	0
127	1354673	0
128	1354718	0
129	1354709	0
130	1354781	0
131	1354697	0
132	1354776	0
133	1354706	0
134	1354741	0
135	1354757	0
136	1354786	0
137	1354707	0
138	1354772	0
139	1354731	0
140	1354734	0
141	1354788	0
142	1354748	0
143	1354737	0
144	1354756	0
145	1354705	0
146	1354674	0
147	1354683	0
148	1354712	0
149	1354747	0
150	1354685	0
151	1354735	0
152	1354765	0
153	1354695	0
154	1354760	0
155	1354751	0
156	1354719	0
157	1354715	0
158	1354721	0
159	1354745	0
160	1354711	0
161	1354761	0
162	1354780	0
163	1354762	0
164	1354738	0
165	1354777	0
166	1354787	0
167	1354701	0
168	1354703	0
169	1354682	0
170	1354728	0
171	1354740	0
172	1354784	0
173	1354680	0
174	1354732	0
175	1354672	0
176	1354692	0
177	1354699	0
178	1354768	0
179	1354791	0
180	1354678	0
181	1354700	0
182	1354727	0
183	1354677	0
184	1354755	0
185	1354783	0
186	1354785	0
187	1354730	0
188	1354759	0
189	1354752	0
190	1354710	0
191	1354769	0
192	1354687	0
193	1354688	0
194	1354763	0
195	1354744	0
196	1354690	0
197	1354720	0
198	1354733	0
199	1354714	0
200	1354789	0
201	1354691	0
202	1354694	0
203	1354722	0
204	1354704	0
205	1354771	0
206	1354698	0
207	1354782	0
208	1354726	0
209	1354736	0
210	1354774	0
211	1354689	0
212	1354713	0
213	1354742	0
214	1354779	0
215	1354758	0
216	1354778	0
217	1354696	0
218	1354792	2
219	1354799	2
220	1354798	0
221	1354797	2
222	1354795	0
223	1354801	2
224	1354800	0
225	1354794	0
226	1354793	0
227	1354802	0
228	1354796	0
229	1354803	0
230	1354861	2
231	1354891	0
232	1354899	2
233	1354868	2
234	1354893	2
235	1354866	2
236	1354880	0
237	1354895	1
238	1354867	0
239	1354887	2
240	1354882	0
241	1354871	0
242	1354863	2
243	1354872	2
244	1354875	2
245	1354865	2
246	1354862	2
247	1354897	1
248	1354879	1
249	1354892	1
250	1354881	1
251	1354860	1
252	1354890	1
253	1354888	0
254	1354889	0
255	1354864	2
256	1354884	2
257	1354873	2
258	1354898	2
259	1354896	0
260	1354894	0
261	1354869	2
262	1354876	2
263	1354874	2
264	1354870	0
265	1354885	1
266	1354877	2
267	1354878	2
268	1354886	2
269	1354883	2
270	1354818	2
271	1354814	2
272	1354813	0
273	1354817	0
274	1354815	2
275	1354816	2
276	1354821	2
277	1354822	2
278	1354824	2
279	1354819	0
280	1354823	1
281	1354825	1
282	1354810	2
283	1354811	2
284	1354812	2
285	1354804	1
286	1354805	1
287	1354820	0
288	1354857	0
289	1354847	0
290	1354855	0
291	1354844	0
292	1354848	0
293	1354853	0
294	1354856	0
295	1354845	0
296	1354851	0
297	1354849	0
298	1354854	0
299	1354852	0
300	1354843	0
301	1354858	0
302	1354846	0
303	1354842	0
304	1354859	0
305	1354850	0
306	1354966	0
307	1354953	0
308	1354947	0
309	1354975	0
310	1354984	0
311	1354981	0
312	1354983	0
313	1354917	0
314	1354915	0
315	1354948	0
316	1354956	0
317	1354939	0
318	1354916	0
319	1354970	0
320	1354991	0
321	1354907	0
322	1354946	0
323	1354921	0
324	1354944	0
325	1354951	0
326	1354900	0
327	1354902	0
328	1354929	0
329	1354930	0
330	1354908	0
331	1354950	0
332	1354938	0
333	1354906	0
334	1354905	0
335	1354988	0
336	1354922	0
337	1354931	0
338	1354965	0
339	1354989	0
340	1354963	0
341	1354940	0
342	1354959	0
343	1354974	0
344	1354992	0
345	1354973	0
346	1354971	0
347	1354985	0
348	1354935	0
349	1354952	0
350	1354943	0
351	1354954	0
352	1354932	0
353	1354903	0
354	1354920	0
355	1354914	0
356	1354972	0
357	1354942	0
358	1354958	0
359	1354925	0
360	1354987	0
361	1354960	0
362	1354912	0
363	1354962	0
364	1354913	0
365	1354918	0
366	1354909	2
367	1354923	2
368	1354919	0
369	1354977	0
370	1354924	0
371	1354927	0
372	1354957	0
373	1354969	0
374	1354949	0
375	1354993	0
376	1354941	0
377	1354937	0
378	1354955	0
379	1354904	0
380	1354982	0
381	1354934	0
382	1354978	0
383	1354990	0
384	1354967	0
385	1354928	0
386	1354968	0
387	1354976	0
388	1354986	0
389	1354994	0
390	1354936	0
391	1354926	0
392	1354945	0
393	1354980	0
394	1354964	0
395	1354979	0
396	1354901	0
397	1354961	0
398	1354911	0
399	1354933	0
400	1354910	0
401	1355101	0
402	1355001	0
403	1355002	2
404	1355031	1
405	1355003	2
406	1355004	2
407	1355005	2
408	1355032	2
409	1355033	2
410	1355034	2
411	1355102	0
412	1355035	0
413	1355036	0
414	1355103	0
415	1355014	2
416	1355037	2
417	1355038	2
418	1355006	2
419	1355039	2
420	1355104	0
421	1355040	2
422	1355007	2
423	1355041	2
424	1354995	0
425	1355042	1
426	1355043	2
427	1355105	0
428	1355044	1
429	1355045	2
430	1355046	1
431	1354996	0
432	1355047	2
433	1355008	2
434	1355048	2
435	1355049	2
436	1355050	1
437	1355051	1
438	1355009	2
439	1355052	2
440	1355053	2
441	1355054	1
442	1355106	0
443	1355055	2
444	1355107	0
445	1355056	1
446	1355015	2
447	1355057	2
448	1355108	0
449	1355058	1
450	1355010	2
451	1355059	2
452	1355060	2
453	1355011	2
454	1355061	2
455	1355109	0
456	1355062	1
457	1355110	0
458	1355063	2
459	1355111	0
460	1355064	0
461	1355065	2
462	1355066	2
463	1355067	1
464	1355112	0
465	1355113	0
466	1355068	2
467	1355114	0
468	1355069	1
469	1355070	2
470	1355071	1
471	1355072	2
472	1355073	2
473	1355074	2
474	1355115	0
475	1355075	2
476	1355076	1
477	1355077	2
478	1355078	1
479	1355116	0
480	1355079	1
481	1355080	2
482	1355081	2
483	1355082	1
484	1355083	1
485	1355084	1
486	1355085	1
487	1355086	1
488	1355087	2
489	1355117	0
490	1355118	0
491	1355088	2
492	1355089	2
493	1355119	0
494	1355090	2
495	1355091	2
496	1355120	0
497	1355121	0
498	1355092	0
499	1355093	2
500	1355012	2
501	1355094	1
502	1355095	1
503	1355122	0
504	1355096	2
505	1355097	1
506	1355013	2
507	1355123	0
508	1355098	2
509	1355099	2
510	1355100	1
511	1355124	0
512	1355125	0
513	1355126	0
514	1355127	0
515	1355136	2
516	1355137	2
517	1355138	0
518	1355139	0
519	1355140	2
520	1355141	2
521	1355142	0
522	1355143	2
523	1355144	2
524	1355145	2
525	1355146	0
526	1355147	2
527	1355148	0
528	1355149	2
529	1355150	2
530	1355151	0
531	1355152	2
532	1355153	2
533	1355154	2
534	1355155	0
535	1355156	2
536	1355157	0
537	1355158	2
538	1355159	0
539	1355160	0
540	1355161	2
541	1355162	2
542	1355163	2
543	1355164	2
544	1355165	2
545	1355206	2
546	1355207	2
547	1355208	2
548	1355209	0
549	1355210	2
550	1355211	2
551	1355212	2
552	1355213	2
553	1355214	2
554	1355215	0
555	1355216	2
556	1355217	2
557	1355218	2
558	1355219	2
559	1355220	2
560	1355221	2
561	1355222	2
562	1355223	0
563	1355224	2
564	1355225	0
565	1355226	2
566	1355227	0
567	1355228	2
568	1355229	2
569	1355230	2
570	1355231	0
571	1355232	2
572	1355233	2
573	1355234	2
574	1355235	2
575	1355236	2
576	1355237	2
577	1355238	2
578	1355239	2
579	1355240	0
580	1355241	0
581	1355242	2
582	1355243	2
583	1355244	2
584	1355245	0
585	1355246	2
586	1355247	2
587	1355248	2
588	1355249	2
589	1355250	0
590	1355251	0
591	1355252	0
592	1355253	0
593	1355254	0
594	1355255	1
595	1355256	1
596	1355257	1
597	1355258	2
598	1355259	1
599	1355260	1
600	1355261	1
601	1355262	1
602	1355263	2
603	1355264	0
604	1355265	2
605	1355266	0
606	1355267	2
607	1355268	0
608	1355269	2
609	1355270	2
610	1355271	2
611	1355272	2
612	1355273	2
613	1355274	2
614	1355275	2
615	1355276	2
616	1355277	2
617	1355278	0
618	1355279	2
619	1355280	2
620	1355281	2
621	1355282	2
622	1355283	2
623	1355284	2
624	1355285	2
625	1355286	2
626	1355287	2
627	1355288	2
628	1355289	2
629	1355290	2
630	1355291	2
631	1355292	0
632	1355293	2
633	1355294	2
634	1355295	2
635	1355296	2
636	1355297	2
637	1355298	2
638	1355299	2
639	1355300	2
640	1355301	2
641	1355302	2
642	1355303	2
643	1355304	2
644	1355305	2
645	1355306	2
646	1355307	2
647	1355308	2
648	1355309	2
649	1355310	2
650	1355311	2
651	1355312	2
652	1355313	0
653	1355314	2
654	1355315	2
655	1355316	2
656	1355317	0
657	1355318	2
658	1355319	2
659	1355320	2
660	1355321	2
661	1355322	2
662	1355323	2
663	1355324	2
664	1355325	2
665	1355326	2
666	1355327	2
667	1355328	2
668	1355329	0
669	1355330	2
670	1355331	1
671	1355332	1
672	1355333	1
673	1355334	1
674	1355335	1
675	1355336	1
676	1355337	1
677	1355338	1
678	1355339	1
679	1355340	1
680	1355341	1
681	1355342	1
682	1355343	1
683	1355344	1
684	1355345	1
685	1355346	1
686	1355347	1
687	1355348	1
688	1355349	1
689	1355350	1
690	1355351	1
691	1355352	1
692	1355353	1
693	1355354	1
694	1355355	1
695	1355356	1
696	1355357	1
697	1355358	1
698	1355359	1
699	1355360	1
700	1355361	2
701	1355362	2
702	1355363	2
703	1355364	2
704	1355365	2
705	1355366	2
706	1355367	2
707	1355368	0
708	1355369	2
709	1355370	2
710	1355371	2
711	1355372	0
712	1355373	2
713	1355374	0
714	1355375	2
715	1355376	2
716	1355377	0
717	1355378	2
718	1355379	2
719	1355380	2
720	1355381	2
721	1355382	2
722	1355383	2
723	1355384	2
724	1355385	2
725	1355386	2
726	1355387	0
727	1355388	2
728	1355389	2
729	1355390	0
730	1355391	2
731	1355392	2
732	1355393	2
733	1355394	0
734	1355395	2
735	1355396	2
736	1355397	2
737	1355398	2
738	1355399	2
739	1355400	2
740	1355401	0
741	1355402	2
742	1355403	2
743	1355404	0
744	1355405	0
745	1355406	0
746	1355407	0
747	1355408	2
748	1355409	1
749	1355410	2
750	1355411	2
751	1355412	2
752	1355413	2
753	1355414	2
754	1355415	2
755	1355416	0
756	1355417	2
757	1355418	0
758	1355419	0
759	1355420	0
760	1355421	0
761	1355422	2
762	1355423	2
763	1355166	2
764	1355167	1
765	1355168	2
766	1355169	2
767	1355170	2
768	1355424	0
769	1355425	0
770	1355426	0
771	1355427	0
772	1355428	0
773	1355429	0
774	1355430	0
775	1355431	0
776	1355432	0
777	1355433	0
778	1355434	0
779	1355435	0
780	1355436	0
781	1355437	0
782	1355438	0
783	1355439	0
784	1355440	0
785	1355441	0
786	1355442	0
787	1355443	0
788	1355444	0
789	1355445	0
790	1355446	0
791	1355447	0
792	1355448	0
793	1355449	0
794	1355450	0
795	1355451	0
796	1355452	0
797	1355453	0
798	1355454	0
799	1355455	0
800	1355456	0
801	1355457	0
802	1355458	0
803	1355459	0
804	1355460	0
805	1355461	0
806	1355462	0
807	1355463	0
808	1355464	0
809	1355465	0
810	1355466	0
811	1355467	0
812	1355468	0
813	1355469	0
814	1355470	0
815	1355471	0
816	1355472	0
817	1355473	0
818	1355474	0
819	1355475	0
820	1355476	0
821	1355477	0
822	1355478	0
823	1355479	0
824	1355480	0
825	1355481	0
826	1355482	0
827	1355483	0
828	1355484	0
829	1355485	0
830	1355486	1
831	1355487	0
832	1355493	2
833	1355499	2
834	1355492	2
835	1355510	2
836	1355508	0
837	1355494	2
838	1355504	2
839	1355506	2
840	1355507	2
841	1355497	2
842	1355503	0
843	1355505	2
844	1355498	2
845	1355509	2
846	1355495	2
847	1355502	2
848	1355501	2
849	1355500	2
850	1355496	2
851	1355631	0
852	1355615	2
853	1355664	0
854	1355627	2
855	1355614	2
856	1355585	1
857	1355632	2
858	1355676	2
859	1355662	2
860	1355613	2
861	1355628	0
862	1355666	0
863	1355548	0
864	1355660	2
865	1355672	2
866	1355564	2
867	1355609	2
868	1355665	2
869	1355648	2
870	1355583	2
871	1355680	2
872	1355642	2
873	1355645	2
874	1355574	0
875	1355566	2
876	1355658	2
877	1355571	2
878	1355663	2
879	1355576	2
880	1355545	2
881	1355594	2
882	1355633	2
883	1355670	0
884	1355595	0
885	1355591	1
886	1355617	1
887	1355618	2
888	1355674	2
889	1355561	2
